Target,Hiretype,Title,Age,Original State,PinCode,Source,IT,Joining Center,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided
Joined,Re hire,Mr,22.91780822,Tamil Nadu,600128,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,22.13972603,Maharashtra,411021,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,Re hire,Mr,21.9369863,Tamil Nadu,600007,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Mr,22.09041096,New Delhi,110091,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Mr,25.29315068,Kerala,695014,CAMPUS,0,Chennai,44,FALSE,2,MBA,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,22.25753425,Kerala,695013,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,Re hire,Mr,22.2109589,Karnataka,560029,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Mr,24.30958904,West Bengal,700092,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,21.92328767,Karnataka,571218,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
OfferDeclined,New Employee,Mr,24.15616438,Kerala,695024,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,21.79178082,Rajasthan,321026,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,26.63835616,Kerala,686102,CAMPUS,0,Chennai,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Mr,24.86027397,Tamil Nadu,600063,CAMPUS,0,Chennai,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,23.8109589,Tamil Nadu,600004,CAMPUS,0,Chennai,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,24.90958904,Tamil Nadu,600078,CAMPUS,0,Chennai,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0
Joined,Re hire,Ms,23.28493151,Orissa,769004,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,24.69589041,Tamil Nadu,600028,CAMPUS,0,Chennai,44,FALSE,2,MBA,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,22.22191781,West Bengal,700075,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,32.69863014,Karnataka,560004,EMPLOYEE REFERRAL,0,Bangalore,44,FALSE,2,Grad,0,0,29%,0,0,0,1,0
Joined,Re hire,Mr,22.45205479,Tamil Nadu,600076,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,22.74794521,New Delhi,110012,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Mr,23.02191781,Karnataka,560017,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,Re hire,Ms,21.55890411,Tamil Nadu,600041,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,22.17534247,Karnataka,560086,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,Re hire,Mr,23.31780822,Tamil Nadu,600085,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
OfferDeclined,New Employee,Mr,22.50958904,Tamil Nadu,641037,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,22.39178082,Tamil Nadu,600048,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
OfferDeclined,New Employee,Mr,33.09315068,Andhra Pradesh,500081,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,0,37%,0,0,0,1,0
Joined,New Employee,Ms,28.48219178,Andhra Pradesh,500081,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,0,48%,0,0,0,1,1
Joined,New Employee,Ms,23.74520548,Madhya Pradesh,462001,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,25.05479452,Karnataka,560077,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,22.03287671,Maharashtra,440034,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
OfferDeclined,New Employee,Ms,23.69041096,Karnataka,563128,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Mr,27.40273973,Karnataka,560008,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,27.50136986,Karnataka,560008,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,0,100%,0,0,0,1,0
OfferDeclined,Re hire,Mr,22.66575342,Karnataka,560017,CAMPUS,1,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,21.33150685,Andhra Pradesh,517501,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Mr,25.42739726,Karnataka,591302,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,0,100%,0,0,0,1,0
Joined,New Employee,Mr,23.76986301,Orissa,751007,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,Re hire,Mr,23.03835616,Karnataka,591114,CAMPUS,1,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,23.76438356,Karnataka,560025,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,24.33424658,Assam,786125,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,23.96986301,Karnataka,571251,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,0,100%,0,0,0,1,0
Joined,Re hire,Mr,24.56986301,Jharkhand,800023,CAMPUS,1,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,23.84657534,Kerala,682305,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,24.61369863,Karnataka,577418,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,0,100%,0,0,0,1,0
OfferDeclined,Re hire,Mr,22.7260274,Karnataka,560047,CAMPUS,1,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,23.33972603,West Bengal,700025,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,23.26849315,Jharkhand,828111,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
