OverallStatus,Status,Hiretype,RecruiterGPN,Title,Age,Original State,PinCode,Source,Department,IT,Joining Center,Facility,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided,ExpectedJoiningDate,ActualJoiningDate,Target,dum_hiretype,dum_rec,dum_title,date,date1,dum_State,dum_Source,dum_Department,dum_Joining_Center,dum_Rank,dummy_IsRotationalShift,dum_Qual,joiningmonth
OfferDeclined,OfferDeclined,New Employee,XE020M51545,1,27.26575342,West Bengal,700039,CONSULTANCY,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,1,0,0.58,0,0,0,1,0,06-08-2018,NA,0,1,7,NA,16-10-2019,16-10-2019 05:30,5,2,2,1,1,0,2,8
Joined,OfferAccepted,New Employee,XE020M00201,0,40.57260274,Maharashtra,400067,WALK-IN,GCR,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,32,FALSE,2,CA,0,0,0.13,0,0,0,1,0,09-07-2018,09-07-2018,1,1,14,NA,16-10-2019,16-10-2019 05:30,9,5,1,2,4,0,4,7
Joined,OfferAccepted,New Employee,XE020M00201,0,41.1890411,New Delhi,110075,WALK-IN,GCR,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,32,FALSE,2,CA,0,0,0.13,0,0,0,1,0,02-07-2018,02-07-2018,1,1,14,NA,16-10-2019,16-10-2019 05:30,6,5,1,2,4,0,4,7
Joined,OfferAccepted,New Employee,XE020M32824,0,32.73424658,Karnataka,560043,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,0,0,0.23,0,0,0,1,0,30-07-2018,30-07-2018,1,1,3,NA,16-10-2019,16-10-2019 05:30,1,1,1,1,2,0,2,7
OfferDeclined,OfferDeclined,New Employee,XE020M51545,0,33.8630137,West Bengal,713206,PORTAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,MBA,1,0,0.5,0,0,0,1,0,06-08-2018,NA,0,1,7,NA,16-10-2019,16-10-2019 05:30,5,3,2,1,2,0,3,8
Joined,OfferAccepted,New Employee,XE020M36003,0,21.19452055,Karnataka,560010,CAMPUS,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,4,FALSE,1,Grad,0,0,1,0,0,1,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,1,1,3,0,2,7
Joined,OfferAccepted,New Employee,XE020M36003,0,21.69315068,Kerala,682304,CAMPUS,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,4,FALSE,1,Grad,0,0,1,0,0,1,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,3,4,6,1,3,0,2,7
Joined,OfferAccepted,New Employee,XE020M36003,0,21.74520548,Karnataka,560011,CAMPUS,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,4,FALSE,1,Grad,0,0,1,0,0,1,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,6,1,3,0,2,7
Joined,OfferAccepted,New Employee,XE020M36003,1,22.27945205,Tamil Nadu,632007,CAMPUS,GCR,0,Chennai,CHN DLF/ EYGDS/SEZ-SFT,4,FALSE,1,Post Grad,0,0,1,0,0,1,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,2,4,1,3,3,0,1,7
Joined,OfferAccepted,New Employee,XE020M36003,0,25.19452055,West Bengal,700156,CAMPUS,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,4,FALSE,1,MBA,0,0,1,0,0,1,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,5,4,6,1,3,0,3,7
