"","OfferId","OverallStatus","Status","Hiretype","RecruiterGPN","Title","Age","Original State","PinCode","Source","Department","IT","Joining Center","Facility","Rank","IsRotationalShift","NoticePeriod","Qualification1","Big four","DAndI","hike%","JoiningBonus","GoodsTransportationTravelEligibility","Stipend","Experienced","IsNoticePeriodReimbursementProvided","ExpectedJoiningDate","ActualJoiningDate","Target","dum_hiretype","dum_rec","dum_title","date","date1","dum_State","dum_Source","dum_Department","dum_Joining_Center","dum_Rank","dummy_IsRotationalShift","dum_Qual","joiningmonth"
"1061",34998,"Joined","OfferAccepted","New Employee","XE020M38015",0,26.51232877,"Karnataka",560085,"EMPLOYEE REFERRAL","PAS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.17,0,0,0,1,"0",2019-01-07,2019-01-07,1,1,1,NA,2019-10-16,2019-10-16 05:30:00,1,1,2,1,1,0,1,1
"1062",35552,"Joined","OfferAccepted","New Employee","XE020M42382",1,24.13972603,"Tamil Nadu",600091,"EMPLOYEE REFERRAL","PAS",0,"Chennai","CHN DLF/ EYGDS/SEZ-SFT",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2019-01-21,2019-01-21,1,1,2,NA,2019-10-16,2019-10-16 05:30:00,2,1,2,3,1,0,1,1
"1063",42244,"Joined","OfferAccepted","New Employee","XE020M32654",0,29.4630137,"West Bengal",700028,"EMPLOYEE REFERRAL","PAS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Grad",0,0,1,0,1,0,1,"0",2019-06-17,2019-06-17,1,1,9,NA,2019-10-16,2019-10-16 05:30:00,5,1,2,1,1,0,2,6
"1064",26661,"Joined","OfferAccepted","New Employee","XE020M36003",1,21.96164384,"Tamil Nadu",600056,"CAMPUS","PAS",0,"Chennai","CHN DLF/EYLLP/EYGDS/SEZ",44,FALSE,2,"Grad",0,0,1,0,0,0,1,"0",2018-11-05,2018-11-05,1,1,6,NA,2019-10-16,2019-10-16 05:30:00,2,4,2,3,1,0,2,11
"1065",32238,"Joined","OfferAccepted","New Employee","XE020M24041",0,23.82191781,"Karnataka",581402,"CAMPUS","Tax Chat",0,"Bangalore","BLR CORAL/EYGDS/SEZ",4,FALSE,1,"Post Grad",0,0,1,0,0,1,1,"0",2019-01-07,2019-01-07,1,1,5,NA,2019-10-16,2019-10-16 05:30:00,1,4,3,1,3,0,1,1
"1066",42026,"Joined","OfferAccepted","New Employee","XE020M24506",1,23.17808219,"Karnataka",560077,"CAMPUS","Indirect",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"MBA",0,0,1,0,0,0,1,"0",2019-05-27,2019-05-27,1,1,14,NA,2019-10-16,2019-10-16 05:30:00,1,4,5,1,1,0,3,5
"1067",26628,"Joined","OfferAccepted","New Employee","XE020M36003",1,23.49315068,"Tamil Nadu",628001,"CAMPUS","PAS",0,"Chennai","CHN DLF/EYLLP/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2018-10-01,2018-10-01,1,1,6,NA,2019-10-16,2019-10-16 05:30:00,2,4,2,3,1,0,1,10
"1068",27547,"Joined","OfferAccepted","New Employee","XE020M39949",0,23.68493151,"Karnataka",560084,"EMPLOYEE REFERRAL","Transfer Pricing",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Grad",0,0,1,0,0,0,1,"0",2018-07-30,2018-07-30,1,1,4,NA,2019-10-16,2019-10-16 05:30:00,1,1,6,1,1,0,2,7
"1069",32150,"Joined","OfferAccepted","New Employee","XE020M24041",0,22.9369863,"Karnataka",560072,"CAMPUS","Tax Chat",0,"Bangalore","BLR CORAL/EYGDS/SEZ",4,FALSE,1,"Post Grad",0,0,1,0,0,1,1,"0",2019-01-07,2019-01-07,1,1,5,NA,2019-10-16,2019-10-16 05:30:00,1,4,3,1,3,0,1,1
"1070",41003,"OfferDeclined","OfferDeclined","New Employee","XE020M38015",0,25.12876712,"West Bengal",700089,"CONSULTANCY","GDS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",1,0,0.43,0,1,0,1,"0",2019-06-17,NA,0,1,1,NA,2019-10-16,2019-10-16 05:30:00,5,2,7,1,1,0,1,6
