OfferId,OverallStatus,Status,Hiretype,RecruiterGPN,Title,Age,Original State,PinCode,Source,Department,IT,Joining Center,Facility,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike%,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided,ExpectedJoiningDate,ActualJoiningDate
33557,Joined,OfferAccepted,New Employee,XE020M42382,0,29.54520548,New Delhi,110022,CONSULTANCY,Indirect,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,0,0,26%,0,1,0,1,0,04-02-2019,04-02-2019
33558,OfferDeclined,OfferDeclined,New Employee,XE020M42382,0,29.84931507,Haryana,122001,CONSULTANCY,Indirect,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,0,0,26%,0,1,0,1,0,04-02-2019,
33559,Joined,OfferAccepted,New Employee,XE020M22317,1,28.34520548,Orissa,751012,PORTAL,GDS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,28%,0,1,0,1,0,25-02-2019,25-02-2019
33560,OfferDeclined,OfferDeclined,New Employee,XE020M22317,1,27.83287671,Andhra Pradesh,500084,PORTAL,GDS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,33%,0,1,0,1,0,18-02-2019,
33589,Joined,OfferAccepted,Re hire,XE020M00201,0,33.46027397,Karnataka,560050,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,1,0,9%,0,0,0,1,0,07-01-2019,07-01-2019
33592,OfferDeclined,OfferDeclined,New Employee,XE020M22317,0,29.08493151,Andhra Pradesh,500084,PORTAL,GDS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,33%,0,1,0,1,0,25-02-2019,
33593,Joined,OfferAccepted,New Employee,XE020M22317,0,25.28219178,Andhra Pradesh,500032,PORTAL,GDS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,44%,0,1,0,1,0,18-03-2019,18-03-2019
33594,OfferDeclined,OfferDeclined,New Employee,XE020M22317,0,28.5260274,Andhra Pradesh,500084,PORTAL,GDS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,30%,0,1,0,1,0,25-02-2019,
33597,Joined,OfferAccepted,New Employee,XE020M51545,1,28.35068493,Karnataka,560078,PORTAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,0,0,16%,0,0,0,1,0,18-02-2019,18-02-2019
33613,Joined,OfferAccepted,New Employee,XE021305129,0,30.15890411,Kerala,679305,PORTAL,Payroll,0,Kochi,KOC Carnival/EYGDS/SEZ-SFT,44,TRUE,2,Post Grad,0,0,100%,0,1,0,1,0,24-12-2018,24-12-2018
33626,Joined,OfferAccepted,New Employee,XE020M38015,1,44.41643836,Tamil Nadu,600073,EMPLOYEE REFERRAL,PAS,0,Chennai,CHN DLF/EYLLP/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,9%,0,0,0,1,0,21-01-2019,21-01-2019
33628,Joined,OfferAccepted,New Employee,XE020M38015,0,28.10958904,Karnataka,560072,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,19%,0,0,0,1,0,07-01-2019,07-01-2019
33629,Joined,OfferAccepted,New Employee,XE020M38015,1,27.89315068,West Bengal,700008,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,15%,0,1,0,1,0,07-01-2019,07-01-2019
33630,OfferDeclined,OfferDeclined,New Employee,XE020M38015,0,26.29863014,Tamil Nadu,600028,EMPLOYEE REFERRAL,PAS,0,Chennai,CHN DLF/EYLLP/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,13%,0,0,0,1,0,25-02-2019,
33631,Joined,OfferAccepted,New Employee,XE020M38015,0,29.19178082,Kerala,686141,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,24%,0,1,0,1,0,07-01-2019,07-01-2019
